[2023.05.18 15:59:16.531] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:59:16.532] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:59:38.115] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 15:59:38.128] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:59:38.131] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:59:38.132] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:59:38.134] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 16:00:07.348] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 16:00:07.363] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 16:00:07.364] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 16:00:07.365] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 16:00:07.367] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 16:01:59.301] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 16:01:59.313] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 16:01:59.314] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 16:01:59.316] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 16:01:59.318] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 16:02:23.221] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 16:02:23.238] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 16:02:23.240] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 16:02:23.242] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 16:02:23.244] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
